epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,9959.58,1.02415,0.73544,0.98447,0.93602,0.83505,0.89403,0.48493,1.57377,1.02162,1.23675,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,10166.5,0.9602,0.73499,0.98803,0.91242,0.8866,0.91105,0.48708,1.55442,0.98962,1.22195,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,10416.7,0.9423,0.70073,0.96245,0.91406,0.87723,0.89976,0.47931,1.57137,0.99561,1.21401,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,10682.3,0.96121,0.70859,0.97582,0.89977,0.85567,0.88466,0.47661,1.57071,0.99804,1.21377,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,10909.9,0.9502,0.72254,0.97547,0.94067,0.81729,0.88877,0.49757,1.54261,0.97234,1.20548,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,11131,0.96545,0.70322,0.9664,0.93171,0.86598,0.8907,0.48294,1.51924,0.96412,1.20499,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,11365.5,0.92772,0.67597,0.96756,0.92265,0.86077,0.88799,0.48028,1.5546,0.9861,1.22552,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,11598.3,0.93215,0.69751,0.97054,0.9489,0.84536,0.90047,0.47263,1.58374,0.99198,1.25205,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,11820.8,0.91042,0.67132,0.95123,0.93739,0.8866,0.9173,0.4737,1.60564,0.99812,1.25984,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,12067,0.9167,0.66941,0.96029,0.93513,0.89173,0.9284,0.49054,1.55309,0.96521,1.22872,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,12263.5,0.92868,0.67665,0.98123,0.9421,0.83875,0.89414,0.48002,1.55673,0.97917,1.22109,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,12455.2,0.96813,0.68397,0.97932,0.90428,0.85567,0.8827,0.47041,1.5949,1.00337,1.23767,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,12667.7,0.92698,0.66497,0.95459,0.90161,0.87629,0.88166,0.48134,1.60153,0.95791,1.24073,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,12994.3,0.92278,0.64471,0.96623,0.88765,0.89601,0.90073,0.48737,1.59206,0.95757,1.25994,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,13325.4,0.92164,0.66127,0.95693,0.90291,0.86288,0.89776,0.47212,1.60205,0.95888,1.26981,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,13640.7,0.91858,0.65935,0.95852,0.94284,0.85035,0.89036,0.47798,1.56617,0.98083,1.24622,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,13981.1,0.89351,0.61443,0.95192,0.93272,0.85754,0.89778,0.47002,1.58751,0.99824,1.24517,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,14329.3,0.88994,0.64507,0.95909,0.89909,0.86598,0.8815,0.46769,1.59331,1.01612,1.26309,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,14751.1,0.89482,0.63502,0.94648,0.9005,0.85567,0.87398,0.4736,1.5388,0.96707,1.23061,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,15116.5,0.86468,0.61281,0.95084,0.89504,0.87917,0.88045,0.46395,1.57825,0.94066,1.24595,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,15461.2,0.90391,0.61894,0.94412,0.88139,0.87629,0.8806,0.44985,1.58306,0.95483,1.25593,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,15797.4,0.8575,0.62458,0.94154,0.92177,0.85036,0.90018,0.44245,1.62036,0.98385,1.2581,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,16143.6,0.90721,0.63216,0.95864,0.90893,0.83505,0.87147,0.43013,1.66378,0.96443,1.27317,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,16353,0.87168,0.62375,0.94579,0.93163,0.85567,0.8834,0.42894,1.61215,0.96878,1.25027,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,16553.9,0.86919,0.60969,0.95073,0.93474,0.85567,0.88283,0.43685,1.5877,0.94357,1.2435,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,16753.8,0.9112,0.63834,0.98315,0.94144,0.86598,0.90472,0.44988,1.58974,0.93269,1.24103,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,16954.3,0.84748,0.58359,0.93633,0.94199,0.86598,0.89932,0.46029,1.59126,0.93364,1.24197,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,17156.9,0.86024,0.61078,0.95498,0.93084,0.85567,0.88517,0.4636,1.62675,0.94378,1.27064,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,17360.8,0.83741,0.58954,0.94846,0.89216,0.86598,0.86859,0.46999,1.63432,0.94971,1.26905,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,17563.5,0.85933,0.59545,0.94647,0.88271,0.85567,0.86076,0.46643,1.65234,0.9514,1.28065,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,17766.5,0.8233,0.56942,0.93308,0.90236,0.85748,0.87163,0.46855,1.6396,0.95418,1.28781,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,18040.6,0.86385,0.58971,0.93845,0.93253,0.87629,0.89554,0.46692,1.62909,0.92784,1.28364,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,18429.5,0.83227,0.60561,0.94252,0.91563,0.86598,0.88959,0.47734,1.6018,0.91956,1.27361,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,18784.4,0.85378,0.59894,0.94199,0.91466,0.884,0.90568,0.47717,1.58316,0.91577,1.26009,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,19140.6,0.83955,0.57022,0.94021,0.89214,0.87629,0.89119,0.46769,1.56764,0.92008,1.25578,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,19486.5,0.8429,0.58058,0.94566,0.89987,0.86598,0.88268,0.4658,1.57769,0.91914,1.25899,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,19829.1,0.84628,0.57172,0.94632,0.89933,0.86598,0.88103,0.46785,1.57236,0.91379,1.25865,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,20185,0.8427,0.58062,0.93647,0.94184,0.83472,0.88332,0.46551,1.55857,0.91338,1.24781,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,20540.5,0.80015,0.56743,0.91194,0.94228,0.84146,0.88241,0.45912,1.54011,0.90458,1.24456,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,20877,0.81316,0.54952,0.93185,0.93852,0.83505,0.88049,0.45805,1.54119,0.90121,1.246,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,21235.3,0.7779,0.55436,0.91709,0.93088,0.83302,0.85356,0.4573,1.54853,0.88324,1.25511,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,21581.9,0.7837,0.5598,0.92341,0.94225,0.84112,0.87774,0.44846,1.57475,0.89043,1.26497,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,21958.5,0.79997,0.5719,0.92089,0.93156,0.84191,0.87462,0.45132,1.55939,0.89979,1.25993,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,22337.9,0.81221,0.56143,0.9257,0.94306,0.85377,0.8977,0.45681,1.56003,0.89097,1.26108,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,22701.6,0.80502,0.55764,0.92168,0.94055,0.85567,0.89805,0.45578,1.54296,0.88011,1.25809,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,23054.4,0.8248,0.56638,0.93888,0.93235,0.85254,0.88113,0.46149,1.53716,0.87582,1.25312,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,23446.8,0.75572,0.54593,0.90788,0.94382,0.86596,0.90823,0.46167,1.53974,0.87982,1.24943,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,23669.9,0.80051,0.55369,0.92711,0.94043,0.86598,0.90356,0.47053,1.53936,0.88106,1.24773,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,23886.6,0.81303,0.61431,0.90702,0.89711,0.87629,0.89865,0.4658,1.54475,0.91867,1.25244,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,24105.5,0.7668,0.59705,0.89862,0.93626,0.85567,0.90201,0.46181,1.55823,0.91852,1.26267,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,24344.6,0.79978,0.62363,0.91361,0.92933,0.85567,0.90548,0.46773,1.54528,0.90525,1.25624,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,24562.8,0.80909,0.59993,0.92297,0.94264,0.85567,0.90215,0.47002,1.5477,0.89991,1.26411,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,24774.1,0.75865,0.57804,0.89853,0.96551,0.86583,0.91556,0.46163,1.55277,0.89723,1.26755,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,24987.6,0.78927,0.59223,0.89654,0.88908,0.86598,0.90396,0.46124,1.55081,0.9016,1.26903,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,25201.4,0.737,0.58223,0.89497,0.88533,0.87558,0.90346,0.46512,1.54508,0.89692,1.26678,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,25415.1,0.77475,0.5928,0.89961,0.87607,0.87457,0.89739,0.46685,1.53718,0.89151,1.2617,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,28552.6,0.74387,0.58096,0.89266,0.87341,0.87629,0.89753,0.46732,1.53307,0.89033,1.25755,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,28803.5,0.74723,0.56918,0.90067,0.87713,0.8866,0.89839,0.46514,1.53525,0.89349,1.25721,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
